"end_date","form","form.category","indicator.category","indicator.description","indicator.id","indicator.listHeader","indicator.name","indicator.units","indicator.value","location.adminlevel.cadastral_area","location.adminlevel.cadastral_area.code","location.adminlevel.caza","location.adminlevel.caza.code","location.adminlevel.governorate","location.adminlevel.governorate.code","location.alternate_name","location.latitude","location.longitude","location.name","partner.description","partner.id","partner.label","project.description","project.label","Funded_by","Does your programme specifically/primarily target one of these beneficiary groups:","Local public institutions supported/involved through the implementation of activities","LCRP Appeal","Sector of Funding","report.id","site.id","start_date","Does your programme specifically/primarily target one of these beneficiary groups","Governorate","database.id","database"
"2019-12-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.2: Municipal capacity to engage commu",NA,"i0052997019",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.2 will be ongoing in this location","1",1,"Douris","53032","Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Douris","International Rescue Committee","p0000000016","IRC",NA,NA,"UNHCR",NA,NA,"Yes","Protection","m0821153148","s0902044930","2019-12-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.2: Municipal capacity to engage commu",NA,"i2018041335",NA,"1.1.2.1: # of municipalities receiving direct support on community engagement & mediation","Municipalities",1,"Douris","53032","Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Douris","International Rescue Committee","p0000000016","IRC",NA,NA,"UNHCR",NA,NA,"Yes","Protection","m0094683982","s0902044930","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-09-30","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.2: Municipal capacity to engage commu",NA,"i0052997019",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.2 will be ongoing in this location","1",1,"Douris","53032","Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Douris","International Rescue Committee","p0000000016","IRC",NA,NA,"UNHCR",NA,NA,"Yes","Protection","m0044805801","s0902044930","2019-09-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-08-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.2: Municipal capacity to engage commu",NA,"i0052997019",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.2 will be ongoing in this location","1",1,"Douris","53032","Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Douris","International Rescue Committee","p0000000016","IRC",NA,NA,"UNHCR",NA,NA,"Yes","Protection","m2129611939","s0902044930","2019-08-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.2: Municipal capacity to engage commu",NA,"i0052997019",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.2 will be ongoing in this location","1",1,"Douris","53032","Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Douris","International Rescue Committee","p0000000016","IRC",NA,NA,"UNHCR",NA,NA,"Yes","Protection","m0094683982","s0902044930","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-04-30","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.2: Municipal capacity to engage commu",NA,"i0052997019",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.2 will be ongoing in this location","1",1,"Douris","53032","Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Douris","International Rescue Committee","p0000000016","IRC",NA,NA,"UNHCR",NA,NA,"Yes","Protection","m0231439812","s0902044930","2019-04-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.2: Municipal capacity to engage commu",NA,"i2018041335",NA,"1.1.2.1: # of municipalities receiving direct support on community engagement & mediation","Municipalities",5,"Douris","53032","Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Douris","International Rescue Committee","p0000000016","IRC",NA,NA,"UNHCR",NA,NA,"Yes","Protection","m0138690769","s0902044930","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-10-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.2: Municipal capacity to engage commu",NA,"i0052997019",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.2 will be ongoing in this location","1",1,"Douris","53032","Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Douris","International Rescue Committee","p0000000016","IRC",NA,NA,"UNHCR",NA,NA,"Yes","Protection","m0542919557","s0902044930","2019-10-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.2: Municipal capacity to engage commu",NA,"i0145858558",NA,"1.1.2.2: # of staff seconded to municipalities / UoM / other structures to support community engagement & mediation","Individuals",1,"Douris","53032","Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Douris","International Rescue Committee","p0000000016","IRC",NA,NA,"UNHCR",NA,NA,"Yes","Protection","m0138690769","s0902044930","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.2: Municipal capacity to engage commu",NA,"i0052997019",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.2 will be ongoing in this location","1",1,"Douris","53032","Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Douris","International Rescue Committee","p0000000016","IRC",NA,NA,"UNHCR",NA,NA,"Yes","Protection","m1642148061","s0902044930","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-07-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.2: Municipal capacity to engage commu",NA,"i0052997019",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.2 will be ongoing in this location","1",1,"Douris","53032","Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Douris","International Rescue Committee","p0000000016","IRC",NA,NA,"UNHCR",NA,NA,"Yes","Protection","m1945279095","s0902044930","2019-07-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-06-30","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.2: Municipal capacity to engage commu",NA,"i0052997019",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.2 will be ongoing in this location","1",1,"Douris","53032","Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Douris","International Rescue Committee","p0000000016","IRC",NA,NA,"UNHCR",NA,NA,"Yes","Protection","m0639200990","s0902044930","2019-06-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-11-30","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.2: Municipal capacity to engage commu",NA,"i0052997019",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.2 will be ongoing in this location","1",1,"Douris","53032","Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Douris","International Rescue Committee","p0000000016","IRC",NA,NA,"UNHCR",NA,NA,"Yes","Protection","m0386719959","s0902044930","2019-11-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-05-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.2: Municipal capacity to engage commu",NA,"i0052997019",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.2 will be ongoing in this location","1",1,"Douris","53032","Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Douris","International Rescue Committee","p0000000016","IRC",NA,NA,"UNHCR",NA,NA,"Yes","Protection","m1901016483","s0902044930","2019-05-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i0218258259",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.4 will be ongoing in this location","1",1,"Ras Masqa","32001","Koura","LBN54","Nord","4",NA,NA,NA,"Ras Masqa","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m0425563068","s0936171212","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i0218258259",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.4 will be ongoing in this location","1",1,"Ras Masqa","32001","Koura","LBN54","Nord","4",NA,NA,NA,"Ras Masqa","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m0967169068","s0936171212","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-04-30","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i0218258259",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.4 will be ongoing in this location","1",1,"Ras Masqa","32001","Koura","LBN54","Nord","4",NA,NA,NA,"Ras Masqa","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m1324812649","s0936171212","2019-04-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i0218258259",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.4 will be ongoing in this location","1",1,"Ras Masqa","32001","Koura","LBN54","Nord","4",NA,NA,NA,"Ras Masqa","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m1218733834","s0936171212","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2018-12-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i0218258259",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.4 will be ongoing in this location","1",1,"Ras Masqa","32001","Koura","LBN54","Nord","4",NA,NA,NA,"Ras Masqa","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m1467377921","s0936171212","2018-12-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.1: Municipal participatory processes",NA,"i1447767642",NA,"--------Activity-1.1.1: Municipal participatory processes--------","Unit",1,"Qleiaat Aakkar","35011","Aakar","LBN51","Akkar","2",NA,NA,NA,"Qleiaat Aakkar","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m0332500509","s0992698728","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.3: Municipal capacity for strategic p",NA,"i1895947974",NA,"1.1.3.1:  # of municipalities receiving direct support on strategic planning & service delivery","Municipalities",1,"Qleiaat Aakkar","35011","Aakar","LBN51","Akkar","2",NA,NA,NA,"Qleiaat Aakkar","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m0659716903","s0992698728","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.3: Municipal capacity for strategic p",NA,"i1895947974",NA,"1.1.3.1:  # of municipalities receiving direct support on strategic planning & service delivery","Municipalities",1,"Qleiaat Aakkar","35011","Aakar","LBN51","Akkar","2",NA,NA,NA,"Qleiaat Aakkar","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m0332500509","s0992698728","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.1: Municipal participatory processes",NA,"i1447767642",NA,"--------Activity-1.1.1: Municipal participatory processes--------","Unit",1,"Qleiaat Aakkar","35011","Aakar","LBN51","Akkar","2",NA,NA,NA,"Qleiaat Aakkar","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m0720016356","s0992698728","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i1497345691",NA,"1.1.4.1: # other BS project completed","Projects",1,"Qleiaat Aakkar","35011","Aakar","LBN51","Akkar","2",NA,NA,NA,"Qleiaat Aakkar","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m0720016356","s0992698728","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.3: Municipal capacity for strategic p",NA,"i1895947974",NA,"1.1.3.1:  # of municipalities receiving direct support on strategic planning & service delivery","Municipalities",1,"Qleiaat Aakkar","35011","Aakar","LBN51","Akkar","2",NA,NA,NA,"Qleiaat Aakkar","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m0720016356","s0992698728","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.1: Municipal participatory processes",NA,"i1584063641",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.1 will be ongoing in this location","1",1,"Qleiaat Aakkar","35011","Aakar","LBN51","Akkar","2",NA,NA,NA,"Qleiaat Aakkar","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m0720016356","s0992698728","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i1497345691",NA,"1.1.4.1: # other BS project completed","Projects",1,"Qleiaat Aakkar","35011","Aakar","LBN51","Akkar","2",NA,NA,NA,"Qleiaat Aakkar","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m0659716903","s0992698728","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.1: Municipal participatory processes",NA,"i1447767642",NA,"--------Activity-1.1.1: Municipal participatory processes--------","Unit",1,"Qleiaat Aakkar","35011","Aakar","LBN51","Akkar","2",NA,NA,NA,"Qleiaat Aakkar","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m0659716903","s0992698728","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.1: Municipal participatory processes",NA,"i1584063641",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.1 will be ongoing in this location","1",1,"Qleiaat Aakkar","35011","Aakar","LBN51","Akkar","2",NA,NA,NA,"Qleiaat Aakkar","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m0332500509","s0992698728","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i1497345691",NA,"1.1.4.1: # other BS project completed","Projects",1,"Qleiaat Aakkar","35011","Aakar","LBN51","Akkar","2",NA,NA,NA,"Qleiaat Aakkar","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m0332500509","s0992698728","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.1: Municipal participatory processes",NA,"i1584063641",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.1 will be ongoing in this location","1",1,"Qleiaat Aakkar","35011","Aakar","LBN51","Akkar","2",NA,NA,NA,"Qleiaat Aakkar","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m0659716903","s0992698728","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i0218258259",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.4 will be ongoing in this location","1",1,"Jdeidet Ech-Chouf","23054","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Jdeidet Ech-Chouf","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m2138042759","s1039772122","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i1349709820",NA,"1.1.4.2: USD amount invested in BS project(s)","USD",206262,"Jdeidet Ech-Chouf","23054","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Jdeidet Ech-Chouf","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m2138042759","s1039772122","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i1559163219",NA,"1.1.4.1: # other infrastructure BS project completed","Projects",1,"Jdeidet Ech-Chouf","23054","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Jdeidet Ech-Chouf","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m2138042759","s1039772122","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2018-12-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i1684202785",NA,"--------Activity-1.1.4: Basic services projects (budget above 100,000 $)--------","Unit",1,"Jdeidet Ech-Chouf","23054","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Jdeidet Ech-Chouf","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m1608384485","s1039772122","2018-12-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i1349709820",NA,"1.1.4.2: USD amount invested in BS project(s)","USD",132297,"Jdeidet Ech-Chouf","23054","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Jdeidet Ech-Chouf","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m0264817032","s1039772122","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i0386997780",NA,"1.1.4.3: # municipalities benefiting from completed BS project(s)","Municipalities",1,"Jdeidet Ech-Chouf","23054","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Jdeidet Ech-Chouf","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m2138042759","s1039772122","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i0218258259",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.4 will be ongoing in this location","1",1,"Jdeidet Ech-Chouf","23054","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Jdeidet Ech-Chouf","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m0264817032","s1039772122","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i1500102327",NA,"1.1.4.1: # recreationnal BS project completed","Projects",1,"Jdeidet Ech-Chouf","23054","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Jdeidet Ech-Chouf","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m0264817032","s1039772122","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i0218258259",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.4 will be ongoing in this location","1",1,"Marj BG","52014","West Bekaa","LBN24","Bekaa","6",NA,NA,NA,"Marj BG","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Germany",NA,"Municipalities","Yes","Social Stability","m0834939971","s1057449492","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2018-12-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i0218258259",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.4 will be ongoing in this location","1",1,"Marj BG","52014","West Bekaa","LBN24","Bekaa","6",NA,NA,NA,"Marj BG","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Germany",NA,"Municipalities","Yes","Social Stability","m0113965158","s1057449492","2018-12-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-04-30","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i0218258259",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.4 will be ongoing in this location","1",1,"Marj BG","52014","West Bekaa","LBN24","Bekaa","6",NA,NA,NA,"Marj BG","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Germany",NA,"Municipalities","Yes","Social Stability","m0846938620","s1057449492","2019-04-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i0218258259",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.4 will be ongoing in this location","1",1,"Marj BG","52014","West Bekaa","LBN24","Bekaa","6",NA,NA,NA,"Marj BG","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Germany",NA,"Municipalities","Yes","Social Stability","m0505405513","s1057449492","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i0218258259",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.4 will be ongoing in this location","1",1,"Marj BG","52014","West Bekaa","LBN24","Bekaa","6",NA,NA,NA,"Marj BG","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Germany",NA,"Municipalities","Yes","Social Stability","m0840024825","s1057449492","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.1: Municipal participatory processes",NA,"i1584063641",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.1 will be ongoing in this location","1",1,"Tleil","35108","Aakar","LBN51","Akkar","2",NA,NA,NA,"Tleil","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m1219731720","s1204467416","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.1: Municipal participatory processes",NA,"i1584063641",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.1 will be ongoing in this location","1",1,"Tleil","35108","Aakar","LBN51","Akkar","2",NA,NA,NA,"Tleil","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m2063138715","s1204467416","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i1497345691",NA,"1.1.4.1: # other BS project completed","Projects",1,"Tleil","35108","Aakar","LBN51","Akkar","2",NA,NA,NA,"Tleil","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m0367548303","s1204467416","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
