"end_date","form","form.category","indicator.category","indicator.id","indicator.name","indicator.units","indicator.value","location.adminlevel.cadastral_area","location.adminlevel.cadastral_area.code","location.adminlevel.caza","location.adminlevel.caza.code","location.adminlevel.governorate","location.adminlevel.governorate.code","location.alternate_name","location.latitude","location.longitude","location.name","partner.description","partner.id","partner.label","project.description","project.label","Local public institutions supported/involved through the implementation of activities","LCRP Appeal","Sector of Funding","Does your programme specifically/primarily target one of these beneficiary groups:","Funded_by","report.id","site.id","start_date","Does your programme specifically/primarily target one of these beneficiary groups","Governorate","database.id","database"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Maaroub","62032","Sour","LBN63","Sud","8",NA,NA,NA,"Maaroub","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m1716644723","s1829122772","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.3","i1582318680","1.1.3.3:  # of  male officials trained on strategic planning & service delivery","Officials",1,"Maaroub","62032","Sour","LBN63","Sud","8",NA,NA,NA,"Maaroub","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m1716644723","s1829122772","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-05-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Maaroub","62032","Sour","LBN63","Sud","8",NA,NA,NA,"Maaroub","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m1866114781","s1829122772","2018-05-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-06-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Maaroub","62032","Sour","LBN63","Sud","8",NA,NA,NA,"Maaroub","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m1751170717","s1829122772","2018-06-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.1","i1482686313","1.1.1.3: # of female municipal officials participating","Officials",1,"Aaiyat","35086","Aakar","LBN51","Akkar","2",NA,NA,NA,"Aaiyat","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m0739518122","s1833851139","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.1","i1451421661","1.1.1.4:  # of female community/civil society members participating","Individuals",4,"Aaiyat","35086","Aakar","LBN51","Akkar","2",NA,NA,NA,"Aaiyat","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m0739518122","s1833851139","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.1","i1760771944","1.1.1.1: # of host community-led participatory committees/processes established with local governance institutions","Committees / pr",1,"Aaiyat","35086","Aakar","LBN51","Akkar","2",NA,NA,NA,"Aaiyat","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m0739518122","s1833851139","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-06-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Aaiyat","35086","Aakar","LBN51","Akkar","2",NA,NA,NA,"Aaiyat","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m1598315342","s1833851139","2018-06-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-05-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Aaiyat","35086","Aakar","LBN51","Akkar","2",NA,NA,NA,"Aaiyat","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m2112008199","s1833851139","2018-05-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Aaiyat","35086","Aakar","LBN51","Akkar","2",NA,NA,NA,"Aaiyat","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m0739518122","s1833851139","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-03-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Dedde","32003","Koura","LBN54","Nord","4",NA,NA,NA,"Dedde","International Organisation of Migration","p0000000034","IOM",NA,NA,"Municipalities","Yes","Social Stability",NA,"Canada","m1235896996","s1852356832","2018-03-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-06-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Dedde","32003","Koura","LBN54","Nord","4",NA,NA,NA,"Dedde","International Organisation of Migration","p0000000034","IOM",NA,NA,"Municipalities","Yes","Social Stability",NA,"Canada","m0194228551","s1852356832","2018-06-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Dedde","32003","Koura","LBN54","Nord","4",NA,NA,NA,"Dedde","International Organisation of Migration","p0000000034","IOM",NA,NA,"Municipalities","Yes","Social Stability",NA,"Canada","m2087782769","s1852356832","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-02-28","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Dedde","32003","Koura","LBN54","Nord","4",NA,NA,NA,"Dedde","International Organisation of Migration","p0000000034","IOM",NA,NA,"Municipalities","Yes","Social Stability",NA,"Canada","m0167653848","s1852356832","2018-02-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-07-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Dedde","32003","Koura","LBN54","Nord","4",NA,NA,NA,"Dedde","International Organisation of Migration","p0000000034","IOM",NA,NA,"Municipalities","Yes","Social Stability",NA,"Canada","m0082377315","s1852356832","2018-07-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-05-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Dedde","32003","Koura","LBN54","Nord","4",NA,NA,NA,"Dedde","International Organisation of Migration","p0000000034","IOM",NA,NA,"Municipalities","Yes","Social Stability",NA,"Canada","m1890262095","s1852356832","2018-05-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-02-28","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.4","i0671320158","1.1.4.3: # municipalities benefiting from completed BS project(s)","Municipalities",1,"Chiyah","21007","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Chiyah","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities,Schools","Yes","Social Stability","Youth","UK","m1077986024","s1896585377","2018-02-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-02-28","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.4","i1607890535","1.1.4.2: USD amount invested in BS project(s)","USD",47430,"Chiyah","21007","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Chiyah","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities,Schools","Yes","Social Stability","Youth","UK","m1077986024","s1896585377","2018-02-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-01-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Chiyah","21007","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Chiyah","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities,Schools","Yes","Social Stability","Youth","UK","m0633031181","s1896585377","2018-01-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-03-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.4","i1930076265","1.1.4.1: # health BS project completed","Projects",1,"Chiyah","21007","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Chiyah","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities,Schools","Yes","Social Stability","Youth","UK","m0861038093","s1896585377","2018-03-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-03-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.4","i0671320158","1.1.4.3: # municipalities benefiting from completed BS project(s)","Municipalities",1,"Chiyah","21007","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Chiyah","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities,Schools","Yes","Social Stability","Youth","UK","m0861038093","s1896585377","2018-03-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-02-28","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.4","i0685240024","1.1.4.1: # education BS project completed","Projects",1,"Chiyah","21007","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Chiyah","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities,Schools","Yes","Social Stability","Youth","UK","m1077986024","s1896585377","2018-02-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-03-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Chiyah","21007","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Chiyah","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities,Schools","Yes","Social Stability","Youth","UK","m0861038093","s1896585377","2018-03-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-02-28","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Chiyah","21007","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Chiyah","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities,Schools","Yes","Social Stability","Youth","UK","m1077986024","s1896585377","2018-02-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-03-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.4","i1607890535","1.1.4.2: USD amount invested in BS project(s)","USD",46840,"Chiyah","21007","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Chiyah","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities,Schools","Yes","Social Stability","Youth","UK","m0861038093","s1896585377","2018-03-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-06-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Charqiye","71094","El Nabatieh","LBN44","Nabatiye","9",NA,NA,NA,"Charqiye","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities,Water Establishments","Yes","Social Stability",NA,"Netherlands","m0675349972","s1904179270","2018-06-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-07-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Charqiye","71094","El Nabatieh","LBN44","Nabatiye","9",NA,NA,NA,"Charqiye","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities,Water Establishments","Yes","Social Stability",NA,"Netherlands","m1256241627","s1904179270","2018-07-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-05-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Charqiye","71094","El Nabatieh","LBN44","Nabatiye","9",NA,NA,NA,"Charqiye","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities,Water Establishments","Yes","Social Stability",NA,"Netherlands","m0719097700","s1904179270","2018-05-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-08-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Charqiye","71094","El Nabatieh","LBN44","Nabatiye","9",NA,NA,NA,"Charqiye","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities,Water Establishments","Yes","Social Stability",NA,"Netherlands","m1675148070","s1904179270","2018-08-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.1","i1482686313","1.1.1.3: # of female municipal officials participating","Officials",1,"Kfar Roummane","71102","El Nabatieh","LBN44","Nabatiye","9",NA,NA,NA,"Kfar Roummane","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m0416945877","s1915707982","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Kfar Roummane","71102","El Nabatieh","LBN44","Nabatiye","9",NA,NA,NA,"Kfar Roummane","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m0416945877","s1915707982","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.1","i1760771944","1.1.1.1: # of host community-led participatory committees/processes established with local governance institutions","Committees / pr",1,"Kfar Roummane","71102","El Nabatieh","LBN44","Nabatiye","9",NA,NA,NA,"Kfar Roummane","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m0416945877","s1915707982","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-05-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Kfar Roummane","71102","El Nabatieh","LBN44","Nabatiye","9",NA,NA,NA,"Kfar Roummane","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m0717128027","s1915707982","2018-05-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-06-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Kfar Roummane","71102","El Nabatieh","LBN44","Nabatiye","9",NA,NA,NA,"Kfar Roummane","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m0361890406","s1915707982","2018-06-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.1","i1451421661","1.1.1.4:  # of female community/civil society members participating","Individuals",4,"Kfar Roummane","71102","El Nabatieh","LBN44","Nabatiye","9",NA,NA,NA,"Kfar Roummane","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m0416945877","s1915707982","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-10-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Safad Al-Battikh","72010","Bent Jbayl","LBN41","Nabatiye","9",NA,NA,NA,"Safad Al-Battikh","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities,Water Establishments","Yes","Social Stability",NA,"UK","m0062778517","s1928464947","2018-10-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-09-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Safad Al-Battikh","72010","Bent Jbayl","LBN41","Nabatiye","9",NA,NA,NA,"Safad Al-Battikh","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities,Water Establishments","Yes","Social Stability",NA,"UK","m1075272767","s1928464947","2018-09-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-06-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Safad Al-Battikh","72010","Bent Jbayl","LBN41","Nabatiye","9",NA,NA,NA,"Safad Al-Battikh","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities,Water Establishments","Yes","Social Stability",NA,"UK","m2070499410","s1928464947","2018-06-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-05-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Safad Al-Battikh","72010","Bent Jbayl","LBN41","Nabatiye","9",NA,NA,NA,"Safad Al-Battikh","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities,Water Establishments","Yes","Social Stability",NA,"UK","m2061045893","s1928464947","2018-05-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-08-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Safad Al-Battikh","72010","Bent Jbayl","LBN41","Nabatiye","9",NA,NA,NA,"Safad Al-Battikh","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities,Water Establishments","Yes","Social Stability",NA,"UK","m1672420521","s1928464947","2018-08-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-11-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Safad Al-Battikh","72010","Bent Jbayl","LBN41","Nabatiye","9",NA,NA,NA,"Safad Al-Battikh","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities,Water Establishments","Yes","Social Stability",NA,"UK","m1886942751","s1928464947","2018-11-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-12-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Safad Al-Battikh","72010","Bent Jbayl","LBN41","Nabatiye","9",NA,NA,NA,"Safad Al-Battikh","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities,Water Establishments","Yes","Social Stability",NA,"UK","m0669839983","s1928464947","2018-12-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-07-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Safad Al-Battikh","72010","Bent Jbayl","LBN41","Nabatiye","9",NA,NA,NA,"Safad Al-Battikh","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities,Water Establishments","Yes","Social Stability",NA,"UK","m1213280405","s1928464947","2018-07-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-02-28","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Tall Aabbas El-Gharbi","35034","Aakar","LBN51","Akkar","2",NA,NA,NA,"Tall Aabbas El-Gharbi","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"UK","m0428787975","s1936737442","2018-02-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.4","i0765646304","1.1.4.1: #waste water BS project completed","Projects",1,"Tall Aabbas El-Gharbi","35034","Aakar","LBN51","Akkar","2",NA,NA,NA,"Tall Aabbas El-Gharbi","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"UK","m0725419609","s1936737442","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-03-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Tall Aabbas El-Gharbi","35034","Aakar","LBN51","Akkar","2",NA,NA,NA,"Tall Aabbas El-Gharbi","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"UK","m1802437216","s1936737442","2018-03-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-01-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Tall Aabbas El-Gharbi","35034","Aakar","LBN51","Akkar","2",NA,NA,NA,"Tall Aabbas El-Gharbi","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"UK","m0949037932","s1936737442","2018-01-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Tall Aabbas El-Gharbi","35034","Aakar","LBN51","Akkar","2",NA,NA,NA,"Tall Aabbas El-Gharbi","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"UK","m0725419609","s1936737442","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.4","i0671320158","1.1.4.3: # municipalities benefiting from completed BS project(s)","Municipalities",1,"Tall Aabbas El-Gharbi","35034","Aakar","LBN51","Akkar","2",NA,NA,NA,"Tall Aabbas El-Gharbi","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"UK","m0725419609","s1936737442","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.4","i1607890535","1.1.4.2: USD amount invested in BS project(s)","USD",353983.78,"Tall Aabbas El-Gharbi","35034","Aakar","LBN51","Akkar","2",NA,NA,NA,"Tall Aabbas El-Gharbi","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"UK","m0725419609","s1936737442","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Ghaziye","61004","Saida","LBN61","Sud","8",NA,NA,NA,"Ghaziye","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m1559370365","s1940900550","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-06-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Ghaziye","61004","Saida","LBN61","Sud","8",NA,NA,NA,"Ghaziye","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m1593724022","s1940900550","2018-06-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-05-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Ghaziye","61004","Saida","LBN61","Sud","8",NA,NA,NA,"Ghaziye","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m0711178832","s1940900550","2018-05-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-06-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Marj BG","52014","West Bekaa","LBN24","Bekaa","6",NA,NA,NA,"Marj BG","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"Germany","m1873955788","s1943594524","2018-06-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-03-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Marj BG","52014","West Bekaa","LBN24","Bekaa","6",NA,NA,NA,"Marj BG","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"Germany","m0296915471","s1943594524","2018-03-01",NA,NA,8415,"LCRP-2018-R Social Stability"
